Longitud,Latitud,Valor
-69.48310,-17.59500,5.60000
-69.55890,-18.19500,8.00000
-69.26830,-18.20420,3.50000
-69.18330,-18.23530,3.50000
-69.14940,-18.49310,3.90000
-69.24470,-19.11810,6.00000
-68.63780,-19.27640,9.40000
-70.18970,-22.07970,18.70000
-68.02280,-22.22970,5.90000
-68.20280,-22.28560,9.30000
-68.01330,-22.37110,1.60000
-69.32190,-22.88920,19.20000
-69.83970,-23.33360,17.40000
-70.47970,-25.40330,17.50000
-69.66560,-26.67810,14.70000
-70.33080,-27.37720,16.60000
-70.00330,-27.97830,18.70000
-69.94080,-28.08580,20.20000
-70.04500,-28.62310,1.50000
-70.66250,-28.66720,17.50000
-70.28220,-28.87310,18.10000
-70.41390,-29.10940,16.30000
-70.09280,-29.97110,24.00000
-70.51580,-30.90330,2.90000
-71.04030,-31.03250,16.70000
-70.88500,-31.11190,17.60000
-70.96440,-31.56080,14.70000
-70.32140,-32.00670,2.50000
-70.58110,-32.50170,15.50000
-70.35330,-32.83470,15.10000
-70.11080,-32.84440,5.20000
-70.50940,-32.85030,15.10000
-70.16750,-32.86250,9.90000
-70.30360,-32.90670,13.90000
-71.54670,-33.00190,14.80000
-71.58330,-33.05030,14.50000
-71.61690,-33.08190,12.80000
-70.11220,-33.18690,7.10000
-70.27360,-33.22140,3.90000
-70.35720,-33.30860,13.70000
-70.45610,-33.32560,13.60000
-70.36360,-33.34140,12.40000
-70.45080,-33.37030,14.60000
-70.53670,-33.39500,16.10000
-70.64440,-33.44860,16.00000
-70.13670,-33.48780,14.20000
-70.13420,-33.49000,18.10000
-70.81670,-33.49610,14.60000
-70.51440,-33.50170,14.60000
-70.12830,-33.57220,-0.60000
-70.37920,-33.59390,14.60000
-70.10780,-33.66580,6.10000
-70.08860,-33.67670,8.90000
-70.07000,-33.80530,9.60000
-70.20890,-33.80560,13.70000
-70.37640,-34.34640,5.00000
-70.30560,-34.36280,13.50000
-70.70280,-34.49220,14.00000
-70.50970,-34.56060,8.00000
-70.82670,-34.71860,13.70000
-72.06500,-34.76750,13.20000
-70.32970,-34.89110,6.70000
-71.23610,-34.98110,15.60000
-71.09780,-35.18330,11.70000
-72.40890,-35.32420,14.30000
-71.83250,-35.37250,14.30000
-71.61970,-35.43580,14.40000
-71.73330,-35.45250,15.30000
-71.06830,-35.69890,13.60000
-71.07720,-35.70110,14.20000
-71.11390,-35.70610,14.60000
-70.77780,-35.73810,11.70000
-70.76060,-35.81970,12.80000
-71.01920,-35.88420,12.60000
-70.57190,-35.96970,8.10000
-70.55890,-36.01060,5.60000
-71.82830,-36.18780,13.90000
-71.54810,-36.25580,12.40000
-71.24220,-37.10720,6.60000
-71.24250,-37.15890,7.70000
-71.76830,-37.70470,11.70000
-71.81720,-37.71310,12.80000
-72.63720,-37.77940,14.30000
-71.69890,-37.79640,12.80000
-71.59610,-37.91830,12.00000
-71.43440,-38.05830,10.80000
-71.34970,-38.06610,10.50000
-71.29890,-38.20080,9.60000
-71.37420,-38.45360,8.10000
-71.57530,-38.47030,9.40000
-72.55580,-38.71280,12.40000
-71.65360,-38.84440,11.30000
-72.38330,-39.10000,11.50000
-71.95030,-39.27530,12.10000
-73.17860,-39.85610,11.20000
-73.10690,-40.58830,12.00000
-73.17830,-40.63000,11.40000
-73.21440,-40.79560,11.40000
-71.93860,-41.42420,9.80000
-72.93780,-41.46000,12.10000
-72.31170,-41.65110,10.90000
-72.43500,-41.93830,9.90000
-72.36580,-43.41280,8.60000
-73.51640,-45.15530,10.10000
-71.60440,-45.48030,6.30000
-72.02860,-45.57390,8.40000
-71.99080,-46.26920,10.40000
-72.22670,-46.54250,11.50000
-73.85750,-46.64330,9.40000
-73.08690,-47.13780,8.10000
-72.72580,-47.14140,8.20000
-73.25000,-47.19810,6.80000
-72.56440,-47.25170,6.00000
-73.11470,-47.33920,4.70000
-73.53580,-47.79970,8.20000
-73.08890,-48.15920,7.00000
-73.45970,-48.25360,6.60000
-72.59530,-48.51690,8.00000
-74.18310,-48.83470,6.30000
-72.73940,-48.87750,8.70000
-73.11720,-48.92720,8.00000
-73.11250,-50.82280,7.70000
-72.33140,-50.89860,8.30000
-72.51690,-51.05080,8.10000
-73.28250,-51.11580,6.40000
-72.96690,-51.18420,8.40000
-72.32720,-51.26000,7.30000
-72.47810,-51.73360,6.80000
-69.60780,-52.16440,6.40000
-71.68060,-52.20920,4.70000
-72.47830,-52.20940,6.60000
-71.40220,-52.44140,5.00000
-71.97470,-52.54920,6.60000
-69.27720,-52.76810,6.40000
-71.76420,-52.84250,4.00000
-69.93190,-52.86970,6.70000
-70.87720,-53.12330,6.90000
-70.93580,-53.12500,7.30000
-71.05610,-53.13970,3.60000
-70.37000,-53.29080,6.90000
-69.26750,-53.30560,6.30000
-68.66140,-53.32170,6.10000
-71.24970,-53.40250,4.40000
-69.18920,-53.75940,4.20000
-70.07810,-53.99640,5.50000
-68.79970,-54.04970,5.60000
-68.82420,-54.33780,2.40000
-68.68250,-54.88170,6.70000
-68.32360,-54.92560,6.30000
-67.63920,-54.94690,5.30000
-67.07580,-55.08220,6.00000
-70.33580,-18.35140,19.00000
-70.17860,-20.53970,18.30000
-70.44110,-23.45030,16.50000
-70.77420,-27.26390,15.30000
-71.20110,-29.91750,13.70000
-71.53420,-33.03670,13.50000
-70.68280,-33.44500,14.90000
