Categoría: Todas las categorías

Día,baking: (Todo el mundo),cooking: (Todo el mundo),banana bread: (Todo el mundo),bread: (Todo el mundo),cake: (Todo el mundo)
2020-04-06,19,20,10,51,64
2020-04-07,19,19,11,52,67
2020-04-08,19,20,10,54,69
2020-04-09,20,19,10,57,73
2020-04-10,23,23,11,64,83
2020-04-11,27,27,13,72,100
2020-04-12,28,43,12,67,98
2020-04-13,20,22,11,54,69
2020-04-14,19,20,10,49,64
2020-04-15,19,20,10,48,65
2020-04-16,19,19,9,50,65
2020-04-17,19,20,10,52,71
2020-04-18,25,25,13,67,87
2020-04-19,24,27,14,65,85
2020-04-20,18,20,8,48,67
2020-04-21,18,19,9,47,67
2020-04-22,19,20,9,47,68
2020-04-23,18,20,9,46,66
2020-04-24,19,19,8,46,68
2020-04-25,22,23,11,59,83
2020-04-26,25,27,12,62,84
2020-04-27,18,19,9,48,67
2020-04-28,19,19,9,47,71
2020-04-29,19,19,8,47,69
2020-04-30,18,19,8,46,73
2020-05-01,19,20,9,50,79
2020-05-02,23,23,10,57,86
2020-05-03,23,26,11,56,89
